"url","template","indexable","robots","canonical","in_sitemap"
"https://kindredtrips.com/resort/bay-gardens-marina-haven-hotel","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bay-gardens-marina-haven-hotel","true"
"https://kindredtrips.com/resort/be-live-collection-canoa","resort","false","noindex, follow","https://kindredtrips.com/resort/be-live-collection-canoa","false"
"https://kindredtrips.com/resort/be-live-collection-punta-cana","resort","false","noindex, follow","https://kindredtrips.com/resort/be-live-collection-punta-cana","false"
"https://kindredtrips.com/resort/be-live-experience-hamaca-garden","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/be-live-experience-hamaca-garden","true"
"https://kindredtrips.com/resort/beach-house-turks-and-caicos","resort","false","noindex, follow","https://kindredtrips.com/resort/beach-house-turks-and-caicos","false"
"https://kindredtrips.com/resort/beach-palace-all-inclusive","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/beach-palace-all-inclusive","true"
"https://kindredtrips.com/resort/beaches-exuma","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/beaches-exuma","true"
"https://kindredtrips.com/resort/beaches-ocho-rios","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/beaches-ocho-rios","true"
"https://kindredtrips.com/resort/beaches-runaway-bay","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/beaches-runaway-bay","true"
"https://kindredtrips.com/resort/beaches-saint-vincent","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/beaches-saint-vincent","true"
"https://kindredtrips.com/resort/beaches-turks-and-caicos","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/beaches-turks-and-caicos","true"
"https://kindredtrips.com/resort/bel-air-collection-resort-and-spa-riviera-maya","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bel-air-collection-resort-and-spa-riviera-maya","true"
"https://kindredtrips.com/resort/bel-jou-hotel-st-lucia","resort","false","noindex, follow","https://kindredtrips.com/resort/bel-jou-hotel-st-lucia","false"
"https://kindredtrips.com/resort/belizean-dreams-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/belizean-dreams-resort","true"
"https://kindredtrips.com/resort/beloved-playa-mujeres","resort","false","noindex, follow","https://kindredtrips.com/resort/beloved-playa-mujeres","false"
"https://kindredtrips.com/resort/binniguenda-huatulco","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/binniguenda-huatulco","true"
"https://kindredtrips.com/resort/blue-diamond-luxury-boutique-hotel","resort","false","noindex, follow","https://kindredtrips.com/resort/blue-diamond-luxury-boutique-hotel","false"
"https://kindredtrips.com/resort/blue-haven-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/blue-haven-resort","true"
"https://kindredtrips.com/resort/blue-waters-resort-and-spa-antigua","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/blue-waters-resort-and-spa-antigua","true"
"https://kindredtrips.com/resort/bluebay-grand-esmeralda","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bluebay-grand-esmeralda","true"
"https://kindredtrips.com/resort/bluebay-villas-doradas","resort","false","noindex, follow","https://kindredtrips.com/resort/bluebay-villas-doradas","false"
"https://kindredtrips.com/resort/bluefields-bay-villas-and-suites","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bluefields-bay-villas-and-suites","true"
"https://kindredtrips.com/resort/bodyholiday-saint-lucia","resort","false","noindex, follow","https://kindredtrips.com/resort/bodyholiday-saint-lucia","false"
"https://kindredtrips.com/resort/bolongo-bay-beach-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bolongo-bay-beach-resort","true"
"https://kindredtrips.com/resort/breathless-cabo-san-lucas-resort-and-spa","resort","false","noindex, follow","https://kindredtrips.com/resort/breathless-cabo-san-lucas-resort-and-spa","false"
"https://kindredtrips.com/resort/breathless-cancun-soul-resort-and-spa","resort","false","noindex, follow","https://kindredtrips.com/resort/breathless-cancun-soul-resort-and-spa","false"
"https://kindredtrips.com/resort/breathless-montego-bay-resort-and-spa-nov-1","resort","false","noindex, follow","https://kindredtrips.com/resort/breathless-montego-bay-resort-and-spa-nov-1","false"
"https://kindredtrips.com/resort/breathless-puerto-vallarta-resort-and-spa","resort","false","noindex, follow","https://kindredtrips.com/resort/breathless-puerto-vallarta-resort-and-spa","false"
"https://kindredtrips.com/resort/breathless-punta-cana-resort-and-spa","resort","false","noindex, follow","https://kindredtrips.com/resort/breathless-punta-cana-resort-and-spa","false"
"https://kindredtrips.com/resort/breezes-bahamas-resort-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/breezes-bahamas-resort-and-spa","true"
"https://kindredtrips.com/resort/calabash-cove-resort-and-spa","resort","false","noindex, follow","https://kindredtrips.com/resort/calabash-cove-resort-and-spa","false"
"https://kindredtrips.com/resort/calabash-hotel","resort","false","noindex, follow","https://kindredtrips.com/resort/calabash-hotel","false"
"https://kindredtrips.com/resort/cancun-bay-resort-all-inclusive","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/cancun-bay-resort-all-inclusive","true"
"https://kindredtrips.com/resort/canto-del-sol-puerto-vallarta","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/canto-del-sol-puerto-vallarta","true"
"https://kindredtrips.com/resort/caribe-deluxe-princess","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/caribe-deluxe-princess","true"
"https://kindredtrips.com/resort/carlisle-bay-antigua","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/carlisle-bay-antigua","true"
